,U-Factor Wall [Btu/hr-ft2-°F],U-Factor Roof [Btu/hr-ft2-°F],Net Wall Area [ft2],Net Roof Area [ft2],Glass U-Factor [Btu/hr-ft2-°F],Glass SHGC,Infiltration (cfm/ft2),Window-Wall Ratio,Plug and Process [W/ft2],Lighting [W/ft2],Building Area [ft2],vpz (cfm),vot (cfm),Chiller,Boiler,DX Cooling,DX Heating,Purchased Cooling,Purchased Heating,Geothermal,Heating (kBtu/ft2),Cooling (kBtu/ft2),Fans (kBtu/ft2),Pumps (kBtu/ft2),Heat Rejection (kBtu/ft2),Total Lighting (kBtu/ft2),Total Equipment (kBtu/ft2),Climate Category_cool,Climate Category_hot,Climate Category_temperate,Building Type_Hospital,Building Type_Lodging,Building Type_Office,Building Type_Restaurant,Building Type_Retail,Building Type_School,Building Type_Warehouse
52,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,32785.854016,4432.908848000001,1,0,0,1,0,0,0,0.0002247314250238,15.187237337398145,4.197421190882647,0.8229664784372774,0.7220620686015764,6.159775994190759,13.186116363273417,0,1,0,0,1,0,0,0,0,0
53,0.238,0.273,2704.76,783.66,0.4103362999999999,0.4449999999999999,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,32947.100784,4432.908848000001,1,1,0,1,0,0,0,32.12119967579403,1.7256002470455036,3.161634052947799,0.6973416118489547,0.0768581473581509,6.150000177202222,13.186116363273417,1,0,0,0,1,0,0,0,0,0
54,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,47321.58270400001,4432.908848000001,1,1,0,1,0,0,0,0.6396980013303416,13.479278507217009,4.616657664264607,0.9172413112347756,0.6953190290237402,6.156742119952938,13.186116363273417,0,0,1,0,1,0,0,0,0,0
55,0.3629999999999999,0.273,2704.76,783.66,0.51054289,0.3949999999999999,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,31608.816176,4432.908848000001,1,1,0,1,0,0,0,18.337971916232288,4.039547364803403,2.809704641360476,0.7527379081173295,0.1906846141327225,6.153595880002603,13.186116363273417,0,0,1,0,1,0,0,0,0,0
56,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,28821.853312,4432.908848000001,1,1,0,1,0,0,0,9.12342166169256,0.2514744646016694,1.817290668455228,0.4794644952883483,0.0115736683887274,6.150674371477294,13.186116363273417,0,0,1,0,1,0,0,0,0,0
57,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,37460.31518400001,4432.908848000001,1,1,0,1,0,0,0,37.19529815569464,2.2588879186270603,3.235121228930592,0.9011730143455716,0.1121409810868928,6.153146417152556,13.186116363273417,1,0,0,0,1,0,0,0,0,0
58,0.3629999999999999,0.273,2704.76,783.66,0.63082602,0.253,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,25684.003920000003,4432.908848000001,1,1,0,1,0,0,0,1.7890868746147368,1.0833178343273884,1.565591472428535,0.4237311018824376,0.0506769363428744,6.156742119952938,13.186116363273417,0,0,1,0,1,0,0,0,0,0
59,0.3629999999999999,0.273,2704.76,783.66,0.51054289,0.3949999999999999,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,31458.587584,4432.908848000001,1,1,0,1,0,0,0,11.438717168000602,0.7337481027028157,2.0484269390922405,0.5544124255337968,0.0317994966408724,6.150786737189805,13.186116363273417,0,0,1,0,1,0,0,0,0,0
60,0.3629999999999999,0.273,2704.76,783.66,0.73068039,0.2549999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,30090.638656000003,4432.908848000001,1,1,0,1,0,0,0,1.6829012762909754,11.006895734817306,3.3667014782820464,0.7619518965433068,0.5498054313208082,6.155955559965353,13.186116363273417,0,1,0,0,1,0,0,0,0,0
61,0.3629999999999999,0.273,2704.76,783.66,0.73068039,0.2549999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,42216.141344,4432.908848000001,1,1,0,1,0,0,0,1.3407476816921893,8.457205352209407,3.533002732799683,0.7547604909425442,0.3249616405844629,6.157641045653032,13.186116363273417,0,1,0,0,1,0,0,0,0,0
62,0.3629999999999999,0.273,2704.76,783.66,0.51054289,0.3949999999999999,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,37119.387392,4432.908848000001,1,1,0,1,0,0,0,4.287201395179668,4.497550009001976,2.742959408128397,0.4941844036274094,0.1651775973925174,6.240229844349291,12.943518789960187,0,0,1,0,1,0,0,0,0,0
63,0.3629999999999999,0.273,2704.76,783.66,0.63082602,0.253,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,28986.702176,4432.908848000001,1,1,0,1,0,0,0,6.8849843027426685,5.489851616194712,2.612502815902062,0.5156462547171855,0.2527104874393005,6.241690598611946,12.943518789960187,0,0,1,0,1,0,0,0,0,0
64,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,28937.332272000007,4432.908848000001,1,1,0,1,0,0,0,18.93834191818345,2.068090938781826,2.534858108556328,0.4944091350524333,0.0914656899847001,6.239443284361706,12.943518789960187,1,0,0,0,1,0,0,0,0,0
65,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,35856.534912,4432.908848000001,1,1,0,1,0,0,0,9.49523980439449,3.096237208265863,2.712733031462692,0.4693515811622758,0.1107925925367498,6.239443284361706,12.943518789960187,1,0,0,0,1,0,0,0,0,0
66,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.1461919606685566,29.84,0.8010003757,1.2831019136,84351.087072,48719.831616,4432.908848000001,1,1,0,1,0,0,0,0.0042698970754528,16.648553428615617,5.0403887661470455,0.8102691529234309,0.8744299747677353,6.243488450012136,12.943518789960187,0,0,0,0,1,0,0,0,0,0
67,0.3629999999999999,0.273,2704.76,783.66,0.63082602,0.253,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,34787.559952,4432.908848000001,1,1,0,1,0,0,0,2.804311087159904,5.820206810979746,2.9120698054588323,0.4820489066761224,0.2257427164364405,6.2415782328994345,12.943518789960187,0,0,1,0,1,0,0,0,0,0
68,0.2099999999999999,0.273,2704.76,783.66,0.4103362999999999,0.4449999999999999,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,37447.601904,4432.908848000001,1,1,0,1,0,0,0,30.060524874037988,1.1086001196425697,3.358274049843653,0.5205903460677098,0.0439349935921594,6.225622301722741,12.943518789960187,1,0,0,0,1,0,0,0,0,0
69,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,35432.335136,4432.908848000001,1,1,0,1,0,0,0,17.949860745216125,1.745826075297649,2.813075612735833,0.4771048153255981,0.0641608218443044,6.23719597011147,12.943518789960187,1,0,0,0,1,0,0,0,0,0
70,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.1461919606685566,29.84,0.8010003757,1.2831019136,84351.087072,33562.635424,4432.908848000001,1,0,0,0,0,0,0,0.0,20.86957141912577,5.210398089177575,0.6781270750094169,1.0774748172767687,6.243151352874601,12.943518789960187,0,1,0,0,1,0,0,0,0,0
71,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.1461919606685566,29.84,0.8010003757,1.2831019136,84351.087072,31037.989904000005,4432.908848000001,1,0,0,1,0,0,0,0.0001123657125119,14.8653095710515,4.10853991228572,0.6027296819139208,0.6841948234850604,6.243713181437162,12.943518789960187,0,1,0,0,1,0,0,0,0,0
72,0.238,0.273,2704.76,783.66,0.4103362999999999,0.4449999999999999,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,32334.1088,4432.908848000001,1,1,0,1,0,0,0,24.207732006429783,1.90414936422694,2.867235886166577,0.5296919687811751,0.0828135301212825,6.235959947273838,12.943518789960187,1,0,0,0,1,0,0,0,0,0
73,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.1461919606685566,29.84,0.8010003757,1.2831019136,84351.087072,45067.941936,4432.908848000001,1,1,0,1,0,0,0,0.5221634660428767,13.263761070619154,4.427883267244588,0.6991394632491453,0.6716098636837259,6.24135350147441,12.943518789960187,0,0,1,0,1,0,0,0,0,0
74,0.3629999999999999,0.273,2704.76,783.66,0.51054289,0.3949999999999999,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,30031.733792000003,4432.908848000001,1,1,0,1,0,0,0,12.46809946032227,4.064155455843514,2.573736645085451,0.5464344599454507,0.1864147170572697,6.238769090086636,12.943518789960187,0,0,1,0,1,0,0,0,0,0
75,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,29162.35732800001,4432.908848000001,1,1,0,1,0,0,0,6.842959526263212,0.3914821423915176,1.7097566815813234,0.3809197654153974,0.017416685439347,6.2365217758363976,12.943518789960187,0,0,1,0,1,0,0,0,0,0
76,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1258989976545378,29.84,0.8010003757,1.2831019136,84351.087072,31658.821744,4432.908848000001,1,1,0,1,0,0,0,26.548085066627984,2.3757482596394537,2.8748767546173872,0.5727280366732391,0.1079834497239519,6.2385443586616125,12.943518789960187,1,0,0,0,1,0,0,0,0,0
